"","season","episode","titles","ep_desc"
"1",1,1,"Pilot","
    In order to help him get a girlfriend, Stan rigs the school election to make Steve class president. Things go awry when the powers of his new position go to his head.    "
"2",1,2,"Threat Levels","
    Stan steals Steve's lucrative idea to stage and videotape ""bum fights,"" in which homeless men are forced to beat each other senseless.    "
"3",1,3,"Stan Knows Best","
    Hayley takes a job as a stripper after moving into her boyfriend's van and being financially cut off by Stan.    "
"4",1,4,"Francine's Flashback","
    After forgetting his anniversary, Stan arranges to have the last 24 hours of Francine's memory erased, but a bungling technician erases two decades.    "
"5",1,5,"Roger Codger","
    Roger runs away after he and Stan have an argument. Once the CIA finds out, they organize a search team in order to find him and bring him in for questioning. So now Stan must either kill Roger or choose friendship over his career.    "
"6",1,6,"Homeland Insecurity","
    Stan panics after discovering that his new neighbors are Iranian-American; Steve finds himself at the mercy of the Scout Rangers.    "
"7",1,7,"Deacon Stan, Jesus Man","
    In an attempt to one up is neighbor, Stan runs for deacon of his church.    "
"8",1,8,"Bullocks to Stan","
    Stan's boss begins dating Hayley.    "
"9",1,9,"A Smith in the Hand","
    Stan becomes addicted to masturbation, and when he is caught by his son, he blames it on television and declares war on TV.    "
"10",1,10,"All About Steve","
    After disowning Steve for being a geek, Stan must rely on his son's knowledge of science fiction and fantasy to catch a cyber-terrorist.    "
"11",1,11,"Con Heir","
    A man claiming to be Stan's real father shows up at his father's funeral. Stan explains that the man to whom everyone knew to be his father was in reality a stranger he met at a bus stop on his wedding day. So now Stan's real father, a secret agent, wants Stan to accompany him on a top secret mission. Unbeknownst to Stan, his father has a hidden agenda.    "
"12",1,12,"Stan of Arabia: Part 1","
    After embarrassing his boss at an award ceremony, Stan and his family are transfered to Saudi Arabia. At first hesitant, Stan quickly begins to enjoy the fascist ways of the country and even goes as far as getting a second wife after Francine refuses to do work until Stan asks for his old job back. While outside of the house, Steve learns that boys his age are considered men in the new country & Haley falls in love with a terrorist.    "
"13",1,13,"Stan of Arabia: Part 2","
    Cultures continue to clash, and the entire Smith family is arrested by the Vice and Virtue Police and sentenced to death by stoning.    "
"14",1,14,"Stannie Get Your Gun","
    Stan's efforts to get Hayley to become a gun-lover backfire on him when she accidentally shoots him and turns him into a quadriplegic.    "
"15",1,15,"Star Trek","
    Roger is overjoyed to discover that Steve's new book is all about him - until he finds out that it paints him in an unflattering light.    "
"16",1,16,"Not Particularly Desperate Housewife","
    In order to gain entry in a women's social club known as the Ladybugs, Francine pretends she is cheating on Stan. After her fellow Ladybugs wish to meet her ""boytoy"", guilt stricken Francine confesses that she is not having an affair. Now she must either actually cheat on her husband or the Ladybugs will kill her in an attempt to keep their secrets safe.    "
"17",1,17,"Rough Trade","
    When Stan and Roger trade places, Roger gets a job as a car salesman, while Stan ends up in jail.    "
"18",1,18,"Finances with Wolves","
    After receiving a hefty bonus from work, Stan buys extravagant gadgets while Francine pleads for her dream kiosk    "
"19",1,19,"It's Good to Be the Queen","
    Because of a past incident at his own prom, where he was lured into a dance with the homecoming queen only to have a pile of pigs dropped on him, Stan wants revenge by showing off that he married a homecoming queen, Francine.    "
"20",1,20,"Roger 'n' Me","
    Stan and Roger become best friends in Atlantic City, taking their friendship to a whole new, unexpected level, when Roger absorbs all of Stan's memories. Meanwhile, Hayley and Steve conspire to break up a good-looking couple so that they can date the two.    "
"21",1,21,"Helping Handis","
    Stan devises a plan to make Steve more popular at school, but the plan backfires when the side effects make him a little too popular; Francine becomes a surgeon and aids a criminal organization.    "
"22",1,22,"With Friends Like Steve's","
    Steve's friend Barry turns evil after skipping his meds, and schemes to replace Steve in Stan's life.    "
"23",1,23,"Tears of a Clooney","
    Stan enlists his contacts at the CIA to help make Francine's birthday wish come true - to destroy George Clooney.    "
"24",2,1,"Camp Refoogee","
    Stan and Steve try to turn an African refugee camp into a fun summer camp, but get attacked by a group of rebels. Back at home, Roger and Francine pose as a college professor and his wife.    "
"25",2,2,"The American Dad After School Special","
    Stan becomes so obsessed with his own physical appearance after his son starts dating a ""fat chick"" that he becomes anorexic.    "
"26",2,3,"Failure is Not a Factory-Installed Option","
    Stan becomes worried that he is losing his mind-control skills after a smooth-talking car salesman keeps outsmarting him.    "
"27",2,4,"Lincoln Lover","
    Stan doesn't realize until it's too late that he's befriended a group of gay Republican men.    "
"28",2,5,"Dungeons and Wagons","
    Stan becomes a street car racer to satisfy Francine's need for adventure and excitement, and Jeff becomes an online gamer with Steve and his friends after Hayley breaks up with him    "
"29",2,6,"Iced, Iced Babies","
    Francine wants to have another baby, but Stan doesn't want one. Ultimately, he gives in, but for some reason unknown to her, she can't seem to get pregnant.    "
"30",2,7,"Of Ice and Men","
    Francine discovers the horrible secret that Stan's been keeping from her every winter: he's a closet figure skater.    "
"31",2,8,"Irregarding Steve","
    When Roger helps Steve see that his father isn't as smart as he always believed, the power-hungry pair set their sights on fame and fortune in New York City.    "
"32",2,9,"The Best Christmas Story Never Told","
    Stan goes to the past to keep Jane Fonda from ruining Christmas, but he winds up creating an alternate future where the United States has been taken over by the Soviet Union.    "
"33",2,10,"Bush Comes to Dinner","
    When Stan enters an essay-writing contest to have his personal hero, President Bush, come over for dinner, he is overcome with joy when the President arrives at his doorstep.    "
"34",2,11,"American Dream Factory","
    Stan hires a family of Mexican illegal aliens to help launch his new teddy bear business, and Roger gets Steve kicked out of his own garage band.    "
"35",2,12,"A.T. The Abusive Terrestrial","
    Roger finds another neighborhood kid to be his best friend, but winds up getting in an abusive relationship. Meanwhile, Stan and Francine become obsessed with saving Mr. Pibb after they find out that it is being discontinued.    "
"36",2,13,"Black Mystery Month","
    While researching a paper about George Washington Carver in celebration of Black History Month, Steve uncovers a conspiracy that's been going on since the Civil War.    "
"37",2,14,"An Apocalypse to Remember","
    Stan lies to his family and tells them they're the only survivors of a nuclear attack, instead of admitting that he fell for a CIA drill and losing their trust. Roger sets up a phony wedding so that he can register for a new blender.    "
"38",2,15,"Four Little Words","
    CIA director Bullock accidentally kills one of Francine's friends while on a blind date. But Stan is forced to frame Francine for the crime so that he doesn't have to hear her say ""I told you so.""    "
"39",2,16,"When a Stan Loves a Woman","
    When Stan discovers that Francine has a secret sex garden, he feels like their marriage might be on shaky ground.    "
"40",2,17,"I Can't Stan You","
    When Stan discovers that everyone in the neighborhood hates him, he uses his CIA connections to have them evicted. Roger and Steve discover the perks of working together as scam artists.    "
"41",2,18,"The Magnificent Steven","
    When Stan is prosecuted for sending contaminated cattle to the slaughterhouse, he recounts his story of how the ordeal started out as a quest to make Steve a man.    "
"42",2,19,"Joint Custody","
    When Roger finds out that Hayley's boyfriend, Jeff, is wanted in Florida for smuggling marijuana, he and Stan turn into bounty hunters and chase Jeff across the country.    "
"43",3,1,"The Vacation Goo","
    Francine discovers that every one of their family vacations have been artificially experienced in tanks filled with green goo. This makes her very angry and she demands a real vacation. When they finally go on a real vacation Francine thinks this vacation must be fake too since it seems too good to be true. She therefore causes the family to suffer the consequences. Simultaneously, Roger attempts to become the greatest actor who ever lived.    "
"44",3,2,"Meter Made","
    A court-imposed sentence forces Stan to perform community service as a meter maid, which provides him with an opportunity to provide Francine with the home of her dreams.    "
"45",3,3,"Dope and Faith","
    Stan prays for a friend and thinks God sent him one, but Brett turns out to be an atheist.    "
"46",3,4,"Big Trouble in Little Langley","
    Stan gets fed up with Francine's Asian adoptive parents and sets out to find her real parents, and Steve injures himself with fireworks trying to impress a girl.    "
